"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Courtland Sutton","DEN","41.0","529.4","3.1","0.0","0.0","0.0","0.4","70.5"
"Chris Godwin","TB","39.4","543.5","2.7","0.0","0.0","0.0","0.2","70.1"
"John Ross","CIN","40.4","519.0","2.9","2.6","16.5","0.1","0.7","69.7"
"Keelan Cole","JAC","33.5","517.4","3.1","0.0","-0.1","0.0","0.7","69.0"
"Travis Benjamin","LAC","32.0","485.9","2.9","5.0","32.0","0.1","0.7","68.4"
"Mike Williams","LAC","37.9","485.3","3.3","0.0","0.0","0.0","0.2","68.0"
"Ryan Grant","IND","38.1","476.7","3.4","0.0","0.0","0.0","0.2","67.4"
"Donte Moncrief","JAC","33.4","450.8","3.7","0.1","0.7","0.0","0.2","67.2"
"Michael Gallup","DAL","36.7","482.9","3.2","0.0","0.0","0.0","0.3","66.9"
"Dede Westbrook","JAC","38.2","496.1","2.9","0.0","0.0","0.0","0.2","66.7"
"Anthony Miller","CHI","39.2","508.2","2.7","0.0","0.0","0.0","0.4","66.4"
"Tre'Quan Smith","NO","40.0","495.0","2.8","0.0","0.0","0.0","0.6","65.1"
"Eric Decker","NE","37.6","447.7","3.0","0.0","0.0","0.0","0.2","62.5"
"Corey Coleman","BUF","35.3","458.5","2.8","0.2","1.8","0.0","0.2","62.4"
"Brandon Marshall","SEA","35.0","427.6","2.9","0.0","0.3","0.0","0.2","59.6"
"Cole Beasley","DAL","42.8","435.3","2.7","0.1","0.2","0.0","0.2","59.3"
"Albert Wilson","MIA","37.1","443.6","2.3","1.6","10.1","0.1","0.2","58.9"
"Geronimo Allison","GB","34.9","425.5","3.0","0.0","0.0","0.0","1.0","58.7"
"Terrelle Pryor","NYJ","35.4","441.8","2.2","0.7","4.9","0.0","0.2","57.3"
"J.J. Nelson","ARI","28.7","427.8","2.3","2.1","13.4","0.0","0.9","56.1"
"Willie Snead","BAL","38.9","450.6","1.9","0.0","0.0","0.0","0.5","55.6"
"Chester Rogers","IND","30.6","406.9","2.2","1.7","8.5","0.0","0.2","54.5"
"Adam Humphries","TB","41.5","436.2","1.7","0.9","5.2","0.0","0.5","53.1"
"James Washington","PIT","28.8","383.5","2.4","0.0","0.0","0.0","0.3","52.2"
"Christian Kirk","ARI","32.6","404.2","2.0","0.3","1.0","0.0","0.3","51.7"
"Trent Taylor","SF","35.2","400.7","2.2","0.0","0.0","0.0","1.1","51.2"
"Antonio Callaway","CLE","30.0","385.6","2.1","0.0","0.0","0.0","0.4","50.4"
"Kendall Wright","MIN","35.2","393.8","1.8","0.0","0.0","0.0","0.2","49.6"
"Brice Butler","ARI","24.4","367.6","2.2","0.0","0.0","0.0","0.2","49.5"
"Taylor Gabriel","CHI","29.8","365.9","1.9","1.8","10.8","0.0","0.2","48.7"
"Taywan Taylor","TEN","27.0","367.5","1.5","3.3","18.5","0.1","0.2","47.6"
