"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jordan Wilkins","IND","72.1","286.0","1.7","10.5","80.2","0.4","0.8","47.5"
"Chase Edmonds","ARI","59.3","228.4","1.5","18.8","146.9","0.3","0.8","47.1"
"Rod Smith","DAL","47.8","206.8","1.7","11.9","102.0","0.6","0.7","43.1"
"Jonathan Stewart","NYG","63.6","240.1","2.0","8.2","53.6","0.2","0.5","41.4"
"Tavon Austin","DAL","28.4","142.2","1.1","16.9","144.2","1.0","0.0","40.6"
"Elijah McGuire","NYJ","51.8","194.6","1.2","15.6","136.3","0.5","1.3","40.6"
"Jalen Richard","OAK","42.1","181.4","1.1","17.9","145.4","0.5","1.6","39.4"
"C.J. Prosise","SEA","33.9","128.9","0.8","17.0","188.2","0.6","0.6","38.9"
"James Conner","PIT","57.0","227.7","1.7","6.2","42.0","0.2","0.6","37.3"
"Charles Sims","TB","35.7","128.9","0.5","24.1","187.6","0.6","0.9","36.1"
"De'Angelo Henderson","DEN","51.6","195.4","0.8","9.3","86.5","0.6","1.1","34.8"
"Ameer Abdullah","DET","43.8","158.7","1.3","12.5","88.4","0.5","0.8","33.7"
"Travaris Cadet","BUF","40.8","163.5","0.9","13.2","95.0","0.3","0.5","32.2"
"Kyle Juszczyk","SF","9.0","35.8","0.2","30.3","253.8","1.0","2.2","31.9"
"DeAndre Washington","OAK","32.8","126.2","1.0","15.3","101.8","0.5","0.1","31.5"
"Samaje Perine","WAS","53.0","197.9","1.2","9.3","75.1","0.2","2.1","31.1"
"Malcolm Brown","LAR","49.9","202.1","1.1","6.1","43.9","0.1","0.9","30.1"
"Kalen Ballage","MIA","39.6","158.6","0.9","10.3","78.7","0.3","0.8","29.4"
"Joe Williams","SF","38.0","147.8","1.1","8.8","70.2","0.2","0.2","29.2"
"Mike Gillislee","NE","36.5","144.3","1.4","6.6","53.1","0.2","0.3","28.7"
"Jeremy Hill","NE","41.1","160.7","1.7","3.2","23.4","0.1","0.1","28.7"
"Terrance West","NO","37.0","151.9","1.5","5.2","41.8","0.1","0.5","27.9"
"Alfred Blue","HOU","42.2","162.9","0.7","8.1","64.7","0.2","0.4","27.7"
"John Kelly","LAR","45.2","179.3","0.9","5.7","41.4","0.1","0.2","27.4"
"Cameron Artis-Payne","CAR","38.4","154.5","1.0","7.3","47.9","0.2","1.1","25.2"
"Thomas Rawls","NYJ","41.6","145.7","0.9","4.9","40.4","0.1","0.8","22.8"
"Christine Michael","IND","26.8","106.1","0.7","9.6","67.0","0.3","0.3","22.8"
"Jacquizz Rodgers","TB","34.6","131.9","0.9","5.1","36.7","0.1","0.1","22.3"
"T.J. Logan","ARI","26.6","109.3","0.5","8.9","68.8","0.2","0.0","22.0"
"Robert Turbin","IND","29.5","110.7","0.9","7.8","55.3","0.2","0.4","21.8"
"Justin Jackson","LAC","31.3","120.2","0.7","5.9","46.7","0.1","0.1","21.6"
"Robert Kelley","WAS","39.2","132.4","0.8","3.9","27.9","0.0","0.3","20.6"
"Mark Walton","CIN","33.3","131.0","0.6","5.8","45.5","0.1","1.0","19.8"
"Wendell Smallwood","PHI","27.4","103.0","0.8","6.5","54.3","0.2","1.5","18.6"
"Jaylen Samuels","PIT","20.7","81.4","0.5","7.6","59.4","0.2","0.0","18.1"
