"Player","Team","REC","YDS","TDS","FL","FPTS"
"Jacob Hollister","NE","5.8","59.1","0.4","0.1","8.3"
"Jace Amaro","KC","4.9","53.8","0.5","0.0","8.2"
"Antony Auclair","TB","4.7","49.4","0.5","0.1","7.6"
"Derek Carrier","OAK","7.9","58.8","0.3","0.1","7.5"
"MyCole Pruitt","HOU","5.1","54.6","0.3","0.0","7.4"
"Jerell Adams","NYG","5.9","62.1","0.2","0.0","7.4"
"Troy Fumagalli","DEN","5.6","57.4","0.3","0.1","7.4"
"Henry Krieger Coble","LAR","4.5","49.1","0.4","0.0","7.3"
"C.J. Uzomah","CIN","6.8","64.4","0.2","0.1","7.2"
"Ryan Izzo","MIN","5.0","48.0","0.4","0.0","7.2"
"Alex Ellis","KC","4.9","49.5","0.3","0.0","7.0"
"Gavin Escobar","MIA","4.0","41.5","0.5","0.1","7.0"
"Logan Paulsen","ATL","4.9","48.3","0.4","0.1","6.9"
"Luke Stocker","TEN","5.1","40.5","0.5","0.1","6.9"
"Jeremy Sprinkle","WAS","4.5","46.7","0.4","0.1","6.9"
"Tyler Conklin","NE","5.3","60.7","0.1","0.0","6.9"
"Michael Hoomanawanui","NO","4.4","44.1","0.4","0.1","6.8"
"Hakeem Valles","DET","4.7","42.3","0.4","0.0","6.8"
"Alan Cross","TB","4.3","47.8","0.3","0.0","6.7"
"Gabe Holmes","ARI","4.5","46.6","0.3","0.0","6.7"
"Brandon Williams","ARI","6.0","63.0","0.1","0.1","6.7"
"Temarrick Hemingway","LAR","4.0","44.8","0.4","0.1","6.5"
"Khari Lee","BUF","4.4","39.0","0.4","0.0","6.3"
"Cethan Carter","CIN","4.0","43.3","0.3","0.0","6.2"
"Garrett Griffin","NO","5.1","38.8","0.3","0.0","5.9"
"Daniel Brown","CHI","4.4","47.4","0.2","0.1","5.9"
"Blake Bell","MIN","4.4","45.8","0.3","0.1","5.9"
"Jordan Thomas","HOU","4.0","40.0","0.3","0.0","5.8"
"Xavier Grimble","PIT","4.5","41.0","0.3","0.1","5.5"
"Mason Schreck","CIN","4.0","35.0","0.3","0.0","5.3"
"Bucky Hodges","PIT","4.0","34.0","0.3","0.0","5.2"
"Ben Braunecker","CHI","3.5","37.4","0.3","0.1","5.1"
"Chris Manhertz","CAR","4.2","37.8","0.2","0.0","5.0"
"Orson Charles","CLE","3.5","42.5","0.1","0.0","4.9"
"Will Tye","NE","4.6","37.1","0.2","0.0","4.6"
"Ross Travis","IND","3.6","35.1","0.1","0.1","4.2"
"Darrell Daniels","IND","3.2","30.2","0.2","0.1","3.8"
"Phillip Supernaw","TEN","1.0","13.0","0.2","0.1","2.3"
"Ryan Hewitt","CIN","2.0","19.0","0.0","0.1","1.7"
""
""
